accuracyl,bacg,radiusr,grainr,bacl,accuracyg,limitg,filename,graing,experiment,bacr,radiusg,limitl,grainl,radiusl,accuracyr,limitr
0.4444444444444445,0.8054513801280828,0.21,15,0.5,0.8083333333333333,15,heart,5,r,0.8162393577449631,0.09,5,5,0.21,0.8166666666666667,15
0.6041666666666666,0.6603027182460098,0.03,15,0.5,0.6802083333333333,15,hayes,7,r,0.6580460159559469,0.09,3,7,0.03,0.6770833333333333,15
0.6064011379800853,0.8734928315412185,0.09,15,0.5,0.89950213371266,15,soybean,19,r,0.9387985472073348,0.09,13,19,0.09,0.9412517780938833,15
0.5555555555555556,0.9631777350191669,0.15,15,0.5,0.9677777777777777,15,iris,3,r,0.9386208838440796,0.09,13,3,0.15,0.9455555555555556,15
0.7,0.5,0.07,15,0.5,0.7,15,german,1,r,0.6542692615540275,0.09,3,15,0.05,0.67,15
0.6410269445856634,0.7478836484158626,0.01,15,0.5,0.7086476868327403,15,ionosphere,17,r,0.7586287049409668,0.09,5,17,0.01,0.7414387391967463,15
0.8431159420289853,0.8587050577708435,0.25,15,0.8488706176507004,0.8532608695652174,15,australian,5,r,0.8633202459820563,0.09,11,5,0.25,0.8586956521739131,15
0.784,0.7526713422916521,0.01,15,0.7528306692401876,0.7765333333333334,15,balance,13,r,0.747190214609089,0.09,17,17,0.01,0.7781333333333333,15
0.6500699787719897,0.976763368595843,0.13,15,0.5,0.975109655731228,15,breastcan,19,r,0.9759654170517151,0.09,13,19,0.19,0.9743770549986273,15
0.34895897884060273,0.7302099474567871,0.03,15,0.5,0.7125563411985911,15,diabetes,13,r,0.7269430106940169,0.09,5,13,0.23,0.7119043457535552,15
